model,R2,MAE,RMSE
gradient_boosting,0.9004115839036356,2509.6888409228777,4277.847047985141
xgboost,0.8855045640918145,2772.6988282107623,4586.854112914222
random_forest,0.8813775636472079,2691.0731170380604,4668.789137576778
decision_tree,0.8428720732981771,2421.683277749379,5373.379696398287
linear_regression,0.804599894461841,4198.725197586501,5992.15773381405
knn,0.706297717837249,4348.326174966419,7346.398802822749
svm,0.00457791347180736,8529.6413930403,13524.601461041259
